2025-10-24 15:35:32 | UPDATE_PRODUCT | 001
2025-10-24 15:35:40 | UPDATE_PRODUCT | 001
2025-10-24 15:36:15 | DEL_PRODUCT | 001
2025-10-24 15:55:32 | LOGIN_OK | admin
2025-10-24 15:56:01 | ADD_PRODUCT | 001
2025-10-24 15:57:20 | UPDATE_PRODUCT | 001
2025-10-24 15:57:26 | UPDATE_PRODUCT | 001
2025-10-24 16:00:48 | DEL_PRODUCT | 001
2025-10-24 16:01:08 | LOGIN_OK | admin
2025-10-24 16:01:26 | ADD_PRODUCT | 001
2025-10-24 16:01:31 | UPDATE_PRODUCT | 001
2025-10-24 16:01:35 | UPDATE_PRODUCT | 001
2025-10-24 16:02:09 | UPDATE_PRODUCT | 001
2025-10-24 16:35:13 | LOGIN_OK | admin
2025-10-24 16:35:35 | ADD_USER | Cliente
2025-10-24 16:35:50 | ADD_USER | Vendedor
2025-10-24 16:36:01 | LOGIN_OK | Vendedor
2025-10-24 16:36:38 | LOGIN_OK | Cliente
2025-10-24 16:41:49 | LOGIN_FAIL | Cliente
2025-10-24 16:42:05 | LOGIN_OK | admin
2025-10-24 16:42:24 | ADD_USER | Cliente
2025-10-24 16:42:32 | LOGIN_OK | Cliente
2025-10-24 16:59:16 | LOGIN_OK | admin
2025-10-24 16:59:29 | ADD_USER | Cliente
2025-10-24 16:59:42 | LOGIN_OK | Cliente
2025-10-24 17:00:03 | REALIZAR_PEDIDO | Cliente - PE-1761346803764
2025-10-24 17:19:49 | LOGIN_OK | admin
2025-10-24 17:20:03 | ADD_USER | Cliente
2025-10-24 17:20:17 | LOGIN_OK | Cliente
2025-10-24 17:20:30 | REALIZAR_PEDIDO | Cliente - PE-1761348030560
2025-10-24 17:24:27 | LOGIN_OK | admin
2025-10-24 17:24:43 | ADD_USER | Cliente
2025-10-24 17:24:53 | LOGIN_OK | Cliente
2025-10-24 17:26:42 | REALIZAR_PEDIDO | Cliente - PE-1761348402409
2025-10-24 17:26:57 | LOGIN_OK | admin
2025-10-24 17:27:12 | ADD_USER | Vendedor
2025-10-24 17:27:25 | LOGIN_OK | Vendedor
2025-10-24 17:27:35 | CONFIRMAR_PEDIDO | Vendedor - PE-1761348402409
2025-10-24 17:27:51 | LOGIN_OK | Cliente
2025-10-24 18:11:04 | DEL_USER | admin
2025-10-24 18:11:13 | LOGIN_FAIL | admin
2025-10-24 18:11:37 | LOGIN_OK | admin
2025-10-24 18:11:45 | DEL_PRODUCT | 001
2025-10-24 18:24:44 | LOGIN_OK | admin
2025-10-24 18:25:03 | ADD_USER | Cliente
2025-10-24 18:25:24 | ADD_USER | Vendedor
2025-10-24 18:25:38 | LOGIN_OK | Cliente
2025-10-24 18:25:49 | LOGIN_OK | admin
2025-10-24 19:27:02 | LOGIN_OK | admin
2025-10-24 19:27:23 | PDF_PRODUCTS | C:\Users\Pavel\OneDrive\Documentos\Prueba
